# DAY, BCHAIN/MKPRU, BCHAIN/MWNTD, BCHAIN/AVBLS, BCHARTS/KRAKENEUR, BCHAIN/NTRBL, BCHAIN/ETRAV, BCHAIN/MKTCP, BCHAIN/TRFUS, BCHAIN/HRATE, BCHARTS/BITSTAMPUSD, BCHAIN/DIFF, BCHAIN/MIREV, BCHAIN/ATRCT, BCHAIN/CPTRA, BCHAIN/NTREP, BCHAIN/NADDU, BCHAIN/TOTBC
89.00000000,2495.02858571,55596.00000000,0.96733882,2218.62000000,1618.04761905,271020.03428800,41097019288.90000153,418004.16490300,5878995.15883000,2564.74000000,804525194568.00000000,4829127.82765000,9.15000000,21.03239897,232701.00000000,460146.00000000,16471562.50000000
90.00000000,2647.62500000,54446.00000000,0.92360664,2184.99000000,1463.43506494,312691.77266600,43615617342.19999695,440222.11678400,6585327.48530000,2524.99000000,836351931635.00000000,5348202.50000000,8.48333333,24.56815375,220311.00000000,443425.00000000,16473487.50000000
91.00000000,2781.63658333,54565.00000000,0.91686341,2296.00000000,1648.04666667,477537.03043200,45828471053.69999695,524147.46225400,6414280.01815000,2666.33000000,860221984436.00000000,5563273.16667000,8.23333333,23.21825861,240817.00000000,487086.00000000,16475362.50000000
92.00000000,2722.51278571,53094.00000000,0.87220315,2383.27600000,1344.80254777,341085.52993300,44859727986.90000153,425982.46395700,6713613.08566000,2777.01000000,860221984436.00000000,5536229.74975000,12.87500000,27.32347138,205225.00000000,416822.00000000,16477325.00000000
93.00000000,2745.95541667,43818.00000000,0.81033736,2332.30300000,1252.68707483,408316.71911200,45251045529.00000000,379262.63569600,6285994.41778000,2681.60000000,860221984436.00000000,5226926.13562000,12.37500000,29.46023902,180109.00000000,386558.00000000,16479162.50000000
94.00000000,2866.43166667,54422.00000000,0.92672201,2380.00000000,1593.18620690,618414.99003900,47241588637.50000000,558578.28900900,6200470.68421000,2745.76000000,860221984436.00000000,5550844.92250000,17.22500000,24.90773503,225772.00000000,485988.00000000,16480975.00000000
95.00000000,2710.41306667,37015.00000000,0.72529163,2469.75300000,885.06711409,505161.32127600,44675298135.69999695,205846.71249100,6371518.15136000,2855.81000000,860221984436.00000000,5102352.59800000,11.75000000,39.84069042,130345.00000000,301131.00000000,16482837.50000000
96.00000000,2693.63398333,51878.00000000,0.87808347,2328.77600000,1377.11184211,524484.35295500,44403849136.30000305,351559.25363300,6499803.75172000,2732.00000000,860221984436.00000000,5295684.41123000,12.30000000,26.12955137,203050.00000000,403175.00000000,16484737.50000000
97.00000000,2794.11771667,50621.00000000,0.86885471,2277.74000000,1543.60144928,347500.15006600,46065116956.40000153,346766.64540200,5901137.61670000,2703.51000000,860221984436.00000000,5009853.06598000,11.11666667,24.25449474,205843.00000000,427728.00000000,16486462.50000000
98.00000000,2873.85108333,56590.00000000,0.92414765,2375.99900000,1317.27374302,416334.92143600,47386068357.80000305,326099.43510900,7654374.15499000,2793.34000000,860221984436.00000000,6553817.39554000,6.60000000,28.65381876,229312.00000000,467900.00000000,16488700.00000000
